# Native language names
# extracted from http://td.unfoldingword.org/exports/langnames.json

aa	Afaraf
cry	Cori
crz	Cruzeño
cs	čeština, český jazyk
csa	Chiltepec Chinantec
csb	Kashubian
csc	Catalan Sign Language
csd	Chiangmai Sign Language
cse	Czech Sign Language
csf	Cuba Sign Language
csg	Chilean Sign Language
csh	Asho Chin
csi	Coast Miwok
csj	Songlai Chin
csk	Jola-Kasa
csl	Chinese Sign Language
csm	Central Sierra Miwok
csn	Colombian Sign Language
cso	Sochiapam Chinantec
csq	Croatia Sign Language
csr	Costa Rican Sign Language
css	Southern Ohlone
cst	Northern Ohlone
csv	Sumtu Chin
csw	Swampy Cree
csy	Siyin Chin
csz	Coos
cta	Tataltepec Chatino
ctc	Chetco
ctd	Tedim Chin
cte	Tepinapa Chinantec
ctg	Chittagonian
cth	Thaiphum Chin
ctl	Tlacoatzintepec Chinantec
ctm	Chitimacha
ctn	Chhintange
cto	Emberá-Catío
ctp	Western Highland Chatino
cts	Northern Catanduanes Bikol
ctt	Wayanad Chetti
ctu	Chol
ctz	Zacatepec Chatino
cu	ѩзыкъ словѣньскъ
cua	Cua
cub	Cubeo
cuc	Usila Chinantec
cug	Cung
cuh	Chuka
cui	Cuiba
cuj	Mashco Piro
cuk	San Blas Kuna
cul	Culina
cuo	Cumanagoto
cup	Cupeño
cuq	Cun
cur	Chhulung
cut	Teutila Cuicatec
cuu	Tai Ya
cuv	Cuvok
cuw	Chukwa
cux	Tepeuxila Cuicatec
cv	чӑваш чӗлхи
cvg	Chug
cvn	Valle Nacional Chinantec
cwa	Kabwa
cwb	Maindo
cwd	Woods Cree
cwe	Kwere
cwg	Chewong
cwt	Kuwaataay
cy	Cymraeg
cya	Nopala Chatino
cyb	Cayubaba
cyo	Cuyonon
czh	Huizhou Chinese
czk	Knaanic
czn	Zenzontepec Chatino
czo	Min Zhong Chinese
czt	Zotung Chin
da	dansk
daa	Dangaléat
dac	Dambi
dad	Marik
dae	Duupa
dag	Dagbani
dah	Gwahatike
dai	Day
daj	Dar Fur Daju
dak	Dakota
dal	Dahalo
dam	Damakawa
dao	Daai Chin
daq	Dandami Maria
dar	Dargwa
das	Daho-Doo
dau	Dar Sila Daju
dav	Taita
daw	Davawenyo
dax	Dayi
daz	Dao
dba	Bangime
dbb	Deno
dbd	Dadiya
dbe	Dabe
dbf	Edopi
dbg	Dogul Dom Dogon
dbi	Doka
dbj	Ida'an
dbl	Dyirbal
dbm	Duguri
dbn	Duriankere
dbo	Dulbu
dbp	Duwai
dbq	Daba
dbr	Dabarre
dbt	Ben Tey Dogon
dbu	Bondum Dom Dogon
dbv	Dungu
dbw	Bankan Tey Dogon
dby	Dibiyaso
dcc	Deccan
dda	Dadi Dadi
ddd	Dongotono
dde	Doondo
ddg	Fataluku
ddi	West Goodenough
ddj	Jaru
ddn	Dendi (Benin)
ddo	Dido
ddr	Dhudhuroa
dds	Donno So Dogon
ddw	Dawera-Daweloor
de	Deutsch
dec	Dagik
ded	Dedua
dee	Dewoin
def	Dezfuli
deg	Degema
deh	Dehwari
dei	Demisa
dek	Dek
del	Delaware
dem	Dem
den	Slave (Athapascan)
deq	Dendi (Central African Republic)
der	Deori
des	Desano
dev	Domung
dez	Dengese
dga	Southern Dagaare
dgb	Bunoge Dogon
dgc	Casiguran Dumagat Agta
dgd	Dagaari Dioula
dge	Degenan
dgg	Doga
dgh	Dghwede
dgi	Northern Dagara
dgk	Dagba
dgl	Andaandi
dgo	Dogri (individual language)
dgr	Dogrib
dgs	Dogoso
dgu	Degaru
dgw	Daungwurrung
dgx	Doghoro
dgz	Daga
dhd	Dhundari
dhg	Dhangu
dhi	Dhimal
dhl	Dhalandji
dhm	Zemba
dhn	Dhanki
dho	Dhodia
dhr	Dhargari
dhs	Dhaiso
dhv	Dehu
dhw	Dhanwar (Nepal)
dhx	Dhungaloo
dia	Dia
dib	South Central Dinka
dic	Lakota Dida
did	Didinga
dif	Dieri
dig	Digo
dih	Kumiai
dii	Dimbong
dij	Dai
dik	Southwestern Dinka
dil	Dilling
dim	Dime
din	Dinka
dio	Dibo
dip	Northeastern Dinka
diq	Dimli (individual language)
dir	Dirim
dis	Dimasa
diu	Diriku
diw	Northwestern Dinka
dix	Dixon Reef
diy	Diuwe
diz	Ding
djb	Djinba
djc	Dar Daju Daju
djd	Djamindjung
dje	Zarma
dji	Djinang
djj	Djeebbana
djk	Eastern Maroon Creole
djm	Jamsay Dogon
djn	Djauan
djo	Jangkang
djr	Djambarrpuyngu
dju	Kapriman
dka	Dakpakha
dkk	Dakka
dkr	Kuijau
dks	Southeastern Dinka
dkx	Mazagway
dlg	Dolgan
dlk	Dahalik
dlm	Dalmatian
dln	Darlong
dma	Duma
dmb	Mombo Dogon
dmc	Gavak
dme	Dugwor
dmg	Upper Kinabatangan
dmk	Domaaki
dml	Dameli
dmm	Dama
dmo	Kemedzung
dmr	East Damar
dms	Dampelas
dmu	Dubu
dmv	Dumpas
dmw	Mudburra
dmx	Dema
dmy	Demta
dna	Upper Grand Valley Dani
dnd	Daonda
dne	Ndendeule
dng	Dungan
dni	Lower Grand Valley Dani
dnj	Dan
dnk	Dengka
dnn	Dzùùngoo
dnr	Danaru
dnt	Mid Grand Valley Dani
dnu	Danau
dnv	Danu
dnw	Western Dani
dny	Dení
doa	Dom
dob	Dobu
doc	Northern Dong
doe	Doe
dof	Domu
doh	Dong
doi	Dogri (macrolanguage)
dok	Dondo
dol	Doso
don	Toura (Papua New Guinea)
doo	Dongo
dop	Lukpa
doq	Dominican Sign Language
dor	Dori'o
dos	Dogosé
dot	Dass
dov	Dombe
dow	Doyayo
dox	Bussa
doy	Dompo
doz	Dorze
dpp	Papar
drb	Dair
drc	Minderico
drd	Darmiya
dre	Dolpo
drg	Rungus
dri	C'lela
drl	Paakantyi
drn	West Damar
dro	Daro-Matu Melanau
drq	Dura
drs	Gedeo
drt	Drents
dru	Rukai
dry	Darai
dsb	Lower Sorbian
dse	Dutch Sign Language
dsh	Daasanach
dsi	Disa
dsl	Danish Sign Language
dsn	Dusner
dso	Desiya
dsq	Tadaksahak
dta	Daur
dtb	Labuk-Kinabatangan Kadazan
dtd	Ditidaht
dti	Ana Tinga Dogon
dtk	Tene Kan Dogon
dtm	Tomo Kan Dogon
dto	Tommo So Dogon
dtp	Central Dusun
dtr	Lotud
dts	Toro So Dogon
dtt	Toro Tegu Dogon
dtu	Tebul Ure Dogon
dty	Dotyali
dua	Duala
dub	Dubli
duc	Duna
dud	Hun-Saare
due	Umiray Dumaget Agta
duf	Dumbea
dug	Duruma
duh	Dungra Bhil
dui	Dumun
duj	Dhuwal
duk	Uyajitaya
dul	Alabat Island Agta
dum	Middle Dutch (ca. 1050-1350)
dun	Dusun Deyah
duo	Dupaninan Agta
dup	Duano
duq	Dusun Malang
dur	Dii
dus	Dumi
duu	Drung
duv	Duvle
duw	Dusun Witu
dux	Duungooma
dv	ދިވެހި
dva	Duau
dwa	Diri
dwr	Dawro
dws	Dutton World Speedwords
dww	Dawawa
dya	Dyan
dyi	Djimini Senoufo
dym	Yanda Dom Dogon
dyo	Jola-Fonyi
dyu	Dyula
dyy	Dyaabugay
dz	རྫོང་ཁ
dza	Tunzu
dzg	Dazaga
dzl	Dzalakha
dzn	Dzando
eaa	Karenggapa
ebg	Ebughu
ebk	Eastern Bontok
ebo	Teke-Ebo
ebr	Ebrié
ebu	Embu
ecr	Eteocretan
ecs	Ecuadorian Sign Language
ecy	Eteocypriot
ee	Eʋegbe
eee	E
efa	Efai
efe	Efe
efi	Efik
ega	Ega
egl	Emilian
ego	Eggon
egy	Egyptian (Ancient)
ehu	Ehueun
eip	Eipomek
eit	Eitiep
eiv	Askopan
eja	Ejamat
eka	Ekajuk
eke	Ekit
ekg	Ekari
eki	Eki
ekk	Standard Estonian
ekl	Kol (Bangladesh)
ekm	Elip
eko	Koti
ekp	Ekpeye
ekr	Yace
eky	Eastern Kayah
el	ελληνικά
ele	Elepi
elh	El Hugeirat
eli	Nding
elk	Elkei
elm	Eleme
elo	El Molo
elu	Elu
elx	Elamite
ema	Emai-Iuleha-Ora
emb	Embaloh
eme	Emerillon
emg	Eastern Meohang
emi	Mussau-Emira
emk	Eastern Maninkakan
emm	Mamulique
emn	Eman
emp	Northern Emberá
ems	Pacific Gulf Yupik
emu	Eastern Muria
emw	Emplawas
emx	Erromintxela
emy	Epigraphic Mayan
en	English
en-x-demo1	English demo1
en-x-demo2	English demo2
ena	Apali
enb	Markweeta
enc	En
end	Ende
enf	Forest Enets
enh	Tundra Enets
enl	Enlhet
enm	Middle English (1100-1500)
enn	Engenni
eno	Enggano
enq	Enga
enr	Emumu
enu	Enu
env	Enwan (Edu State)
enw	Enwan (Akwa Ibom State)
enx	Enxet
eo	Esperanto
eot	Beti (Côte d'Ivoire)
epi	Epie
era	Eravallan
erg	Sie
erh	Eruwa
eri	Ogea
erk	South Efate
ero	Horpa
ers	Ersu
ert	Eritai
erw	Erokwanas
es	español
es-419	Español Latin America
ese	Ese Ejja
esh	Eshtehardi
esi	North Alaskan Inupiatun
esk	Northwest Alaska Inupiatun
esl	Egypt Sign Language
esm	Esuma
esn	Salvadoran Sign Language
eso	Estonian Sign Language
esq	Esselen
ess	Central Siberian Yupik
esu	Central Yupik
esy	Eskayan
et	eesti, eesti keel
etb	Etebi
etc	Etchemin
eth	Ethiopian Sign Language
etn	Eton (Vanuatu)
eto	Eton (Cameroon)
etr	Edolo
ets	Yekhee
ett	Etruscan
etu	Ejagham
etx	Eten
etz	Semimi
eu	euskara, euskera
eve	Even
evh	Uvbie
evn	Evenki
ewo	Ewondo
ext	Extremaduran
eya	Eyak
eyo	Keiyo
eza	Ezaa
eze	Uzekwe
fa	فارسی
faa	Fasu
fab	Fa d'Ambu
fad	Wagi
faf	Fagani
fag	Finongan
fah	Baissa Fali
fai	Faiwol
faj	Faita
fak	Fang (Cameroon)
fal	South Fali
fam	Fam
fan	Fang (Equatorial Guinea)
fap	Palor
far	Fataleka
fat	Fanti
fau	Fayu
fax	Fala
fay	Southwestern Fars
faz	Northwestern Fars
fbl	West Albay Bikol
fcs	Quebec Sign Language
fer	Feroge
ff	Fulfulde, Pulaar, Pular
ffi	Foia Foia
ffm	Maasina Fulfulde
fgr	Fongoro
fi	suomi, suomen kieli
fia	Nobiin
fie	Fyer
fil	Filipino
fip	Fipa
fir	Firan
fit	Tornedalen Finnish
fiw	Fiwaga
fj	vosa Vakaviti
fkk	Kirya-Konzəl
fkv	Kven Finnish
fla	Kalispel-Pend d'Oreille
flh	Foau
fli	Fali
fll	North Fali
flr	Fuliiru
fly	Flaaitaal
fmp	Fe'fe'
fmu	Far Western Muria
fng	Fanagalo
fni	Fania
fo	føroyskt
fod	Foodo
foi	Foi
fom	Foma
fon	Fon
for	Fore
fos	Siraya
fpe	Fernando Po Creole English
fqs	Fas
fr	français
frc	Cajun French
frd	Fordata
frk	Frankish
frm	Middle French (ca. 1400-1600)
fro	Old French (842-ca. 1400)
frp	Arpitan
frq	Forak
frr	Northern Frisian
frs	Eastern Frisian
frt	Fortsenal
fse	Finnish Sign Language
fsl	French Sign Language
fss	Finland-Swedish Sign Language
fub	Adamawa Fulfulde
fuc	Pulaar
fud	East Futuna
fue	Borgu Fulfulde
fuf	Pular
fuh	Western Niger Fulfulde
fui	Bagirmi Fulfulde
fuj	Ko
fum	Fum
fun	Fulniô
fuq	Central-Eastern Niger Fulfulde
fur	Friulian
fut	Futuna-Aniwa
fuu	Furu
fuv	Nigerian Fulfulde
fuy	Fuyug
fvr	Fur
fwa	Fwâi
fwe	Fwe
fy	Frysk
ga	Gaeilge
gaa	Ga
gab	Gabri
gac	Mixed Great Andamanese
gad	Gaddang
gae	Guarequena
gaf	Gende
gag	Gagauz
gah	Alekano
gai	Borei
gaj	Gadsup
gaj-x-aygm	Gadsup Ayugam
gaj-x-kamu	Gadsup Kamu
gaj-x-urona	Gadsup Urona
gaj-x-ymnk	Gadsup Yomunka
gak	Gamkonora
gal	Galolen
gam	Kandawo
gan	Gan Chinese
gao	Gants
gap	Gal
gaq	Gata'
gar	Galeya
gas	Adiwasi Garasia
gat	Kenati
gau	Mudhili Gadaba
gaw	Nobonob
gax	Borana-Arsi-Guji Oromo
gay	Gayo
gaz	West Central Oromo
gba	Gbaya (Central African Republic)
gbb	Kaytetye
gbd	Karadjeri
gbe	Niksek
gbf	Gaikundi
gbg	Gbanziri
gbh	Defi Gbe
gbi	Galela
gbj	Bodo Gadaba
gbk	Gaddi
gbl	Gamit
gbm	Garhwali
gbn	Mo'da
gbo	Northern Grebo
gbp	Gbaya-Bossangoa
gbq	Gbaya-Bozoum
gbr	Gbagyi
gbs	Gbesi Gbe
gbu	Gagadu
gbv	Gbanu
gbw	Gabi-Gabi
gbx	Eastern Xwla Gbe
gby	Gbari
gbz	Zoroastrian Dari
gcc	Mali
gcd	Ganggalida
gcf	Guadeloupean Creole French
gcl	Grenadian Creole English
gcn	Gaina
gcr	Guianese Creole French
gct	Colonia Tovar German
gd	Gàidhlig
gda	Gade Lohar
gdb	Pottangi Ollar Gadaba
gdc	Gugu Badhun
gdd	Gedaged
gde	Gude
gdf	Guduf-Gava
gdg	Ga'dang
gdh	Gadjerawang
gdi	Gundi
gdj	Gurdjar
gdk	Gadang
gdl	Dirasha
gdm	Laal
gdn	Umanakaina
gdo	Ghodoberi
gdq	Mehri
gdr	Wipi
gds	Ghandruk Sign Language
gdu	Gudu
gdx	Godwari
gea	Geruma
geb	Kire
gec	Gboloo Grebo
ged	Gade
geg	Gengle
geh	Hutterite German
gei	Gebe
gej	Gen
gek	Yiwom
gel	ut-Ma'in
geq	Geme
ges	Geser-Gorom
gev	Eviya
gew	Gera
gex	Garre
gey	Enya
gez	Geez
gfk	Patpatar
gft	Gafat
gga	Gao
ggb	Gbii
gge	Guragone
ggg	Gurgula
ggl	Ganglau
ggn	Eastern Gurung
ggo	Southern Gondi
ggt	Gitua
ggu	Gagu
ggw	Gogodala
gha	Ghadamès
ghc	Hiberno-Scottish Gaelic
ghe	Southern Ghale
ghh	Northern Ghale
ghk	Geko Karen
ghl	Ghulfan
ghn	Ghanongga
gho	Ghomara
ghr	Ghera
ghs	Guhu-Samane
ght	Kuke
gia	Kitja
gib	Gibanawa
gic	Gail
gid	Gidar
gig	Goaria
gih	Githabul
gil	Gilbertese
gim	Gimi (Eastern Highlands)
gin	Hinukh
gip	Gimi (West New Britain)
giq	Green Gelao
gir	Red Gelao
gis	North Giziga
git	Gitxsan
giu	Mulao
giw	White Gelao
gix	Gilima
giy	Giyug
giz	South Giziga
gji	Geji
gjk	Kachi Koli
gjn	Gonja
gju	Gujari
gka	Guya
gke	Ndai
gkn	Gokana
gkp	Guinea Kpelle
gl	galego
glc	Bon Gula
gld	Nanai
glh	Northwest Pashai
glj	Gula Iro
glk	Gilaki
glo	Galambu
glr	Glaro-Twabo
glu	Gula (Chad)
glw	Glavda
gly	Gule
gmb	Gula'alaa
gmd	Mághdì
gmg	Magɨyi
gmh	Middle High German (ca. 1050-1500)
gml	Middle Low German
gmm	Gbaya-Mbodomo
gmn	Gimnime
gmu	Gumalu
gmv	Gamo
gmx	Magoma
gmy	Mycenaean Greek
gmz	Mgbolizhia
gn	Avañe'ẽ
gna	Kaansa
gnb	Gangte
gnc	Guanche
gnd	Zulgo-Gemzek
gne	Ganang
gng	Ngangam
gnh	Lere
gni	Gooniyandi
gnk	//Gana
gnm	Ginuman
gnn	Gumatj
gno	Northern Gondi
gnq	Gana
gnr	Gureng Gureng
gnt	Guntai
gnu	Gnau
gnw	Western Bolivian Guaraní
gnz	Ganzi
goa	Guro
gob	Playero
goc	Gorakor
god	Godié
goe	Gongduk
gof	Gofa
gog	Gogo
goh	Old High German (ca. 750-1050)
goi	Gobasi
goj	Gowlan
gok	Gowli
gol	Gola
gom	Goan Konkani
gon	Gondi
goo	Gone Dau
gop	Yeretuar
goq	Gorap
gor	Gorontalo
gos	Gronings
got	Gothic
gou	Gavar
gow	Gorowa
gox	Gobu
goy	Goundo
goz	Gozarkhani
gpa	Gupa-Abawa
gpe	Ghanaian Pidgin English
gpn	Taiap
gqa	Ga'anda
gqi	Guiqiong
gqn	Guana (Brazil)
gqr	Gor
gqu	Qau
gra	Rajput Garasia
grb	Grebo
grd	Guruntum-Mbaaru
grg	Madi
grh	Gbiri-Niragu
gri	Ghari
grj	Southern Grebo
grm	Kota Marudu Talantang
gro	Groma
grq	Gorovu
grr	Taznatit
grs	Gresi
grt	Garo
gru	Kistane
grv	Central Grebo
grw	Gweda
grx	Guriaso
gry	Barclayville Grebo
grz	Guramalum
gse	Ghanaian Sign Language
gsg	German Sign Language
gsl	Gusilay
gsm	Guatemalan Sign Language
gsn	Gusan
gso	Southwest Gbaya
gsp	Wasembo
gss	Greek Sign Language
gsw	Swiss German
gta	Guató
gu	ગુજરાતી
gua	Shiki
gub	Guajajára
guc	Wayuu
gud	Yocoboué Dida
gue	Gurinji
guf	Gupapuyngu
gug	Paraguayan Guaraní
guh	Guahibo
gui	Eastern Bolivian Guaraní
guk	Gumuz
gul	Sea Island Creole English
gum	Guambiano
gun	Mbyá Guaraní
guo	Guayabero
gup	Gunwinggu
guq	Aché
gur	Farefare
gus	Guinean Sign Language
gut	Maléku Jaíka
guu	Yanomamö
guv	Gey
guw	Gun
gux	Gourmanchéma
guz	Gusii
gv	Gaelg, Gailck
gva	Guana (Paraguay)
gvc	Guanano
gve	Duwet
gvf	Golin
gvj	Guajá
gvl	Gulay
gvm	Gurmana
gvn	Kuku-Yalanji
gvo	Gavião Do Jiparaná
gvp	Pará Gavião
gvr	Western Gurung
gvs	Gumawana
gwa	Mbato
gwb	Gwa
gwc	Kalami
gwd	Gawwada
gwe	Gweno
gwf	Gowro
gwg	Moo
gwi	Gwichʼin
gwj	/Gwi
gwn	Gwandara
gwr	Gwere
gwt	Gawar-Bati
gww	Kwini
gwx	Gua
gxx	Wè Southern
gya	Northwest Gbaya
gyb	Garus
gyd	Kayardild
gye	Gyem
gyg	Gbayi
gyi	Gyele
gyl	Gayil
gym	Ngäbere
gyn	Guyanese Creole English
gyr	Guarayu
gza	Ganza
gzi	Gazi
gzn	Gane
ha	(Hausa) هَوُسَ
haa	Han
hab	Hanoi Sign Language
hac	Gurani
had	Hatam
hae	Eastern Oromo
haf	Haiphong Sign Language
hag	Hanga
hah	Hahon
hai	Haida
haj	Hajong
hak	Hakka Chinese
hal	Halang
ham	Hewa
han	Hangaza
hao	Hakö
hap	Hupla
haq	Ha
har	Harari
has	Haisla
hav	Havu
haw	Hawaiian
hax	Southern Haida
hay	Haya
haz	Hazaragi
hba	Hamba
hbb	Huba
hbn	Heiban
hbo	Ancient Hebrew
hbu	Habu
hca	Andaman Creole Hindi
hch	Huichol
hdn	Northern Haida
hds	Honduras Sign Language
hdy	Hadiyya
he	עברית
hea	Northern Qiandong Miao
hed	Herdé
heg	Helong
heh	Hehe
hei	Heiltsuk
hem	Hemba
hgm	Hai//om
hgw	Haigwai
hhi	Hoia Hoia
hhr	Kerak
hhy	Hoyahoya
hi	हिन्दी, हिंदी
hi-x-dehathi	Dehathi Hindi
hia	Lamang
hid	Hidatsa
hif	Fiji Hindi
hig	Kamwe
hih	Pamosu
hii	Hinduri
hij	Hijuk
hik	Seit-Kaitetu
hil	Hiligaynon
hio	Tsoa
hir	Himarimã
hit	Hittite
hiw	Hiw
hix	Hixkaryána
hji	Haji
hka	Kahe
hke	Hunde
hkk	Hunjara-Kaina Ke
hks	Hong Kong Sign Language
hla	Halia
hlb	Halbi
hld	Halang Doan
hle	Hlersu
hlt	Matu Chin
hlu	Hieroglyphic Luwian
hma	Southern Mashan Hmong
hmb	Humburi Senni Songhay
hmc	Central Huishui Hmong
hmd	Large Flowery Miao
hme	Eastern Huishui Hmong
hmf	Hmong Don
hmg	Southwestern Guiyang Hmong
hmh	Southwestern Huishui Hmong
hmi	Northern Huishui Hmong
hmj	Ge
hmk	Maek
hml	Luopohe Hmong
hmm	Central Mashan Hmong
hmn	Hmong
hmp	Northern Mashan Hmong
hmq	Eastern Qiandong Miao
hmr	Hmar
hms	Southern Qiandong Miao
hmt	Hamtai
hmu	Hamap
hmv	Hmong Dô
hmw	Western Mashan Hmong
hmy	Southern Guiyang Hmong
hmz	Hmong Shua
hna	Mina (Cameroon)
hnd	Southern Hindko
hne	Chhattisgarhi
hnh	//Ani
hni	Hani
hnj	Hmong Njua
hnn	Hanunoo
hno	Northern Hindko
hns	Caribbean Hindustani
hnu	Hung
ho	Hiri Motu
hoa	Hoava
hob	Mari (Madang Province)
hoc	Ho
hoe	Horom
hoh	Hobyót
hoi	Holikachuk
hoj	Hadothi
hol	Holu
hoo	Holoholo
hop	Hopi
hos	Ho Chi Minh City Sign Language
hot	Hote
hov	Hovongan
how	Honi
hoy	Holiya
hoz	Hozo
hpo	Hpon
hps	Hawai'i Sign Language (HSL)
hr	hrvatski jezik
hra	Hrangkhol
hrc	Niwer Mil
hre	Hre
hrk	Haruku
hrm	Horned Miao
hro	Haroi
hrt	Hértevin
hru	Hruso
hrw	Warwar Feni
hrx	Hunsrik
hrz	Harzani
hsb	Upper Sorbian
hsh	Hungarian Sign Language
hsl	Hausa Sign Language
hsn	Xiang Chinese
hss	Harsusi
ht	Kreyòl ayisyen
hto	Minica Huitoto
hts	Hadza
htu	Hitu
htx	Middle Hittite
hu	magyar
hub	Huambisa
huc	=/Hua
hud	Huaulu
hue	San Francisco Del Mar Huave
huf	Humene
hug	Huachipaeri
huh	Huilliche
hui	Huli
huj	Northern Guiyang Hmong
hul	Hula
hum	Hungana
huo	Hu
hup	Hupa
huq	Tsat
hur	Halkomelem
hus	Huastec
hut	Humla
huu	Murui Huitoto
huv	San Mateo Del Mar Huave
hux	Nüpode Huitoto
huy	Hulaulá
huz	Hunzib
hvc	Haitian Vodoun Culture Language
hve	San Dionisio Del Mar Huave
hvk	Haveke
hvn	Sabu
hvv	Santa María Del Mar Huave
hwa	Wané
hwc	Hawai'i Creole English
hwo	Hwana
hy	Հայերեն
hya	Hya
hz	Otjiherero
ia	Interlingua
iai	Iaai
ian	Iatmul
iar	Purari
iba	Iban
ibb	Ibibio
ibd	Iwaidja
ibe	Akpes
ibg	Ibanag
ibl	Ibaloi
ibm	Agoi
ibn	Ibino
ibr	Ibuoro
ibu	Ibu
iby	Ibani
ica	Ede Ica
ich	Etkywan
icl	Icelandic Sign Language
icr	Islander Creole English
id	Bahasa Indonesia
ida	Idakho-Isukha-Tiriki
idb	Indo-Portuguese
idc	Idon
idd	Ede Idaca
ide	Idere
idi	Idi
idr	Indri
ids	Idesa
idt	Idaté
idu	Idoma
ie	Originally called Occidental; then Interlingue after WWII
ifa	Amganad Ifugao
ifb	Batad Ifugao
ife	Ifè
ifk	Tuwali Ifugao
ifm	Teke-Fuumu
ifu	Mayoyao Ifugao
ify	Keley-I Kallahan
ig	Asụsụ Igbo
igb	Ebira
ige	Igede
igg	Igana
igl	Igala
igm	Kanggape
ign	Ignaciano
igo	Isebe
igs	Interglossa
igw	Igwe
ihb	Iha Based Pidgin
ihi	Ihievbe
ihp	Iha
ihw	Bidhawal
ii	ꆈꌠ꒿ Nuosuhxop
ijc	Izon
ije	Biseni
ijj	Ede Ije
ijn	Kalabari
ijs	Southeast Ijo
ik	Iñupiaq, Iñupiatun
ike	Eastern Canadian Inuktitut
iki	Iko
ikk	Ika
ikl	Ikulu
iko	Olulumo-Ikom
ikp	Ikpeshi
iks	Inuit Sign Language
ikt	Inuinnaqtun
ikv	Iku-Gora-Ankwa
ikw	Ikwere
ikx	Ik
ikz	Ikizu
ila	Ile Ape
ilb	Ila
ili	Ili Turki
ilk	Ilongot
ill	Iranun
ilo	Iloko
ils	International Sign
ilu	Ili'uun
ilv	Ilue
ima	Mala Malasar
imi	Anamgura
iml	Miluk
imn	Imonda
imo	Imbongu
imr	Imroing
ims	Marsian
imy	Milyan
inb	Inga
ing	Degexit'an
inh	Ingush
inj	Jungle Inga
inl	Indonesian Sign Language
inm	Minaean
inn	Isinai
ino	Inoke-Yate
inp	Iñapari
ins	Indian Sign Language
int	Intha
inz	Ineseño
io	Ido
ior	Inor
iou	Tuma-Irumu
iow	Iowa-Oto
ipi	Ipili
ipo	Ipiko
iqu	Iquito
iqw	Ikwo
ire	Iresim
irh	Irarutu
iri	Irigwe
irk	Iraqw
irn	Irántxe
irr	Ir
iru	Irula
irx	Kamberau
iry	Iraya
is	Íslenska
isa	Isabi
isc	Isconahua
isd	Isnag
ise	Italian Sign Language
isg	Irish Sign Language
ish	Esan
isi	Nkem-Nkum
isk	Ishkashimi
ism	Masimasi
isn	Isanzu
iso	Isoko
isr	Israeli Sign Language
ist	Istriot
isu	Isu (Menchum Division)
it	italiano
itb	Binongan Itneg
ite	Itene
iti	Inlaod Itneg
itk	Judeo-Italian
itl	Itelmen
itm	Itu Mbon Uzo
ito	Itonama
itr	Iteri
its	Isekiri
itt	Maeng Itneg
itv	Itawit
itw	Ito
itx	Itik
ity	Moyadan Itneg
itz	Itzá
iu	ᐃᓄᒃᑎᑐᑦ
ium	Iu Mien
ivb	Ibatan
ivv	Ivatan
iwk	I-Wak
iwm	Iwam
iwo	Iwur
iws	Sepik Iwam
ixc	Ixcatec
ixl	Ixil
iya	Iyayu
iyo	Mesaka
iyx	Yaka (Congo)
izh	Ingrian
izr	Izere
izz	Izii
ja	日本語 (にほんご)
jaa	Jamamadí
jab	Hyam
jac	Popti'
jad	Jahanka
jae	Yabem
jaf	Jara
jah	Jah Hut
jaj	Zazao
jak	Jakun
jal	Yalahatan
jam	Jamaican Creole English
jao	Yanyuwa
jaq	Yaqay
jas	New Caledonian Javanese
jat	Jakati
jau	Yaur
jax	Jambi Malay
jay	Yan-nhangu
jaz	Jawe
jbe	Judeo-Berber
jbj	Arandai
jbk	Barikewa
jbn	Nafusi
jbo	Lojban
jbr	Jofotek-Bromnya
jbt	Jabutí
jbu	Jukun Takum
jbw	Yawijibaya
jcs	Jamaican Country Sign Language
jct	Krymchak
jda	Jad
jdg	Jadgali
jdt	Judeo-Tat
jeb	Jebero
jee	Jerung
jeg	Jeng
jeh	Jeh
jei	Yei
jek	Jeri Kuo
jel	Yelmek
jen	Dza
jer	Jere
jet	Manem
jeu	Jonkor Bourmataguil
jge	Judeo-Georgian
jgk	Gwak
jgo	Ngomba
jhi	Jehai
jhs	Jhankot Sign Language
jia	Jina
jib	Jibu
jic	Tol
jid	Bu
jie	Jilbe
jig	Djingili
jih	sTodsde
jii	Jiiddu
jil	Jilim
jim	Jimi (Cameroon)
jio	Jiamao
jiq	Guanyinqiao
jit	Jita
jiu	Youle Jinuo
jiv	Shuar
jiy	Buyuan Jinuo
jje	Jejueo
jjr	Bankal
jkm	Mobwa Karen
jko	Kubo
jkp	Paku Karen
jkr	Koro (India)
jku	Labir
jle	Ngile
jls	Jamaican Sign Language
jma	Dima
jmb	Zumbun
jmc	Machame
jmd	Yamdena
jmi	Jimi (Nigeria)
jml	Jumli
jmn	Makuri Naga
jmr	Kamara
jms	Mashi (Nigeria)
jmw	Mouwase
jmx	Western Juxtlahuaca Mixtec
jna	Jangshung
jnd	Jandavra
jng	Yangman
jni	Janji
jnj	Yemsa
jnl	Rawat
jns	Jaunsari
job	Joba
jod	Wojenaka
jos	Jordanian Sign Language
jow	Jowulu
jpa	Jewish Palestinian Aramaic
jpr	Judeo-Persian
jqr	Jaqaru
jra	Jarai
jrb	Judeo-Arabic
jrr	Jiru
jrt	Jorto
jru	Japrería
jsl	Japanese Sign Language
jua	Júma
jub	Wannu
juc	Jurchen
jud	Worodougou
juh	Hõne
juk	Wapan
jul	Jirel
jum	Jumjum
jun	Juang
juo	Jiba
jup	Hupdë
jur	Jurúna
